conceito_candidato,ocorrencias,esta_no_vocabulario
Linha Central,1,False
IMAGINÁRIA,1,False
Linha Central divide a Área de Jogo em exatamente duas metades,1,False
Ponto Central,1,False
o centro da Linha Central,1,False
Tiro de Árbitro utiliza o Ponto Central,1,False
no mínimo 5 centímetros,1,False
no máximo 8 centímetros,1,False
fita de cor sólida,1,False
"exatamente uma cor da enumeração azul, amarelo ou vermelho",1,False
Risco de Lesão nos pés,1,False
Âncora Enterrada fixa uma Linha da Quadra em cada canto,1,False
Âncora Enterrada fixa uma Linha da Quadra em cada interseção entre Linha Lateral e Linha da Área de Gol,1,False
Cordão Elástico conecta cada canto a uma Âncora Enterrada,1,False
Âncora Enterrada,1,False
borda afiada,1,False
Anel de Borracha fixa uma Baliza às Linhas da Quadra,1,False
Âncora,1,False
exatamente duas Balizas,1,False
o centro de uma Linha de Gol Externa,1,False
exatamente dois Postes Verticais,1,False
exatamente um Travessão Horizontal,1,False
Travessão Horizontal conecta exatamente dois Postes Verticais,1,False
exatamente 2 metros,1,False
Poste da Baliza,1,False
Travessão da Baliza,1,False
Componente Tubular da Baliza,1,False
exatamente 8 centímetros,1,False
"exatamente uma cor da enumeração amarelo, azul ou vermelho",1,False
duas Balizas possuem a mesma cor,1,False
exatamente 80 centímetros,1,False
exatamente 1 metro,1,False
náilon resistente ou material sintético equivalente,1,False
SEM_NÓ,1,False
Fio da Rede,1,False
exatamente 6 milímetros,1,False
REGULAMENTAR nos Postes Verticais,1,False
REGULAMENTAR no Travessão Horizontal,1,False
entrada lateral da Bola entre Rede e Poste,1,False
saída da Bola após entrada na Baliza,1,False
parte inferior da Rede,1,False
em tubo curvo ou suporte equivalente,1,False
a mesma cor da Baliza,1,False
base da Baliza,1,False
exatamente uma Ancoragem sob a areia,1,False
Ancoragem da Baliza,1,False
uma posição exatamente 3 metros atrás da Área de Gol,1,False
exatamente 7 metros,1,False
Rede de Proteção alcança a areia,1,False
no mínimo 3 pessoas,1,False
no máximo 4 pessoas,1,False
o centro de uma Linha Lateral,1,False
no mínimo 3 metros da Linha Lateral,1,False
das duas Áreas de Substituição,1,False
Área de Substituição de Jogador de Linha,1,False
aproximadamente 3 metros,1,False
exatamente duas Áreas de Substituição,1,False
o exterior de uma Linha Lateral,1,False
Atleta com Papel Funcional Jogador de Linha,1,False
Quadra de Jogo exclusivamente pela própria Área de Substituição,1,False
Quadra de Jogo pelo caminho mais curto no lado da própria Área de Substituição,1,False
Quadra de Jogo pela Linha Lateral da Área de Jogo no lado da própria Área de Substituição,1,False
Quadra de Jogo pela Linha Lateral da Área de Gol no lado da própria Área de Substituição,1,False
Atleta com Papel Funcional Goleiro,1,False
Quadra de Jogo pela Linha Lateral da própria Área de Gol,1,False
entrada do Goleiro ocorre no lado da própria Área de Substituição,1,False
sentado junto à Linha Lateral entre a própria Linha de Gol e a Linha da Área de Gol,1,False
ajoelhado junto à Linha Lateral entre a própria Linha de Gol e a Linha da Área de Gol,1,False
"está vigente, então um Goleiro Substituto não_pode_aguardar nessa posição durante o Shoot-out",1,False
Área de Jogo,1,True
exatamente 6 metros,1,False
Árbitros executam exatamente um Sorteio antes da Partida,1,False
Sorteio determina a escolha de Lado da Quadra,1,False
Sorteio determina a escolha de Lado da Área de Substituição,1,False
Equipe Vencedora do Sorteio escolhe um Lado da Quadra ou um Lado da Área de Substituição,1,False
Equipe Adversária escolhe a opção remanescente,1,False
Equipes trocam o Lado da Quadra após o Intervalo,1,False
o Lado da Área de Substituição após o Intervalo,1,False
Tiro de Árbitro inicial exige Sinal de Apito,1,False
qualquer posição da Área de Jogo antes do Tiro de Árbitro inicial,1,False
exatamente dois Períodos,1,False
independente,1,False
Intervalo,1,False
exatamente 5 minutos,1,False
Sinal de Apito,1,False
Cronômetro,1,False
a execução do Tiro de Árbitro,1,False
"um Período termina empatado, então o Período",1,False
Equipe Vencedora do Período recebe exatamente 1 ponto de período,1,False
"uma Equipe vence exatamente dois Períodos, então a Equipe vence a Partida",1,False
"uma Equipe vence exatamente dois Períodos, então o resultado da Partida",1,False
"cada Equipe vence exatamente um Período, então a Partida possui_resultado",1,False
a Partida possui_resultado,1,False
então o Shoot-out decide a Equipe Vencedora,1,False
Sinal Final Automático do Cronômetro Público,1,False
Sinal Final do Cronometrista,1,False
"nenhum Sinal Final ocorre, então o Árbitro",1,False
o término do Tempo de Jogo,1,False
"está vigente, então o Cronometrista pode_assinalar o término do Tempo de Jogo na ausência de Sinal Final",1,False
"está vigente, então o Delegado Técnico pode_assinalar o término do Tempo de Jogo na ausência de Sinal Final",1,False
o Cronômetro Público não,1,False
"Sinal Automático, então o Cronometrista utiliza Cronômetro de Mesa ou Cronômetro Manual",1,False
"o Cronômetro Público não possui Sinal Automático, então o Cronometrista",1,False
o Sinal Final,1,False
Cronômetro Público,1,False
de 0 minuto a 10 minutos,1,False
